,0
0,600000.SH
1,600008.SH
2,600004.SH
3,600033.SH
4,600007.SH
5,600019.SH
6,600011.SH
7,600016.SH
8,600030.SH
9,600031.SH
10,600056.SH
11,600129.SH
12,600141.SH
13,600158.SH
14,600166.SH
15,600177.SH
16,600239.SH
17,600251.SH
18,600260.SH
19,600271.SH
20,600284.SH
21,600336.SH
22,600339.SH
23,600368.SH
24,600369.SH
25,600373.SH
26,600393.SH
27,600481.SH
28,600516.SH
29,600550.SH
30,600561.SH
31,600572.SH
32,600585.SH
33,600596.SH
34,600618.SH
35,600649.SH
36,600661.SH
37,600698.SH
38,600731.SH
39,600738.SH
40,600757.SH
41,600761.SH
42,600765.SH
43,600767.SH
44,600790.SH
45,600797.SH
46,600820.SH
47,600834.SH
48,600837.SH
49,600838.SH
50,600843.SH
51,600886.SH
52,600978.SH
53,601231.SH
54,601375.SH
55,601377.SH
56,603007.SH
57,603009.SH
58,603012.SH
59,603018.SH
60,603050.SH
61,603133.SH
62,603139.SH
63,600062.SH
64,600077.SH
65,600084.SH
66,600109.SH
67,600132.SH
68,600178.SH
69,600185.SH
70,600189.SH
71,600230.SH
72,600231.SH
73,600234.SH
74,600249.SH
75,600310.SH
76,600326.SH
77,600356.SH
78,600385.SH
79,600391.SH
80,600467.SH
81,600490.SH
82,600511.SH
83,600513.SH
84,600555.SH
85,600605.SH
86,600614.SH
87,600621.SH
88,600642.SH
89,600668.SH
90,600681.SH
91,600682.SH
92,600718.SH
93,600720.SH
94,600727.SH
95,600751.SH
96,600768.SH
97,600776.SH
98,600783.SH
99,600805.SH
100,600811.SH
101,600833.SH
102,600841.SH
103,600966.SH
104,600980.SH
105,601012.SH
106,601038.SH
107,601088.SH
108,601099.SH
109,601158.SH
110,601163.SH
111,601188.SH
112,601258.SH
113,601668.SH
114,601818.SH
115,601929.SH
116,601989.SH
117,603002.SH
118,603003.SH
119,603006.SH
120,603035.SH
121,603088.SH
122,603117.SH
123,600050.SH
124,600059.SH
125,600078.SH
126,600086.SH
127,600088.SH
128,600152.SH
129,600167.SH
130,600169.SH
131,600175.SH
132,600180.SH
133,600207.SH
134,600233.SH
135,600248.SH
136,600266.SH
137,600272.SH
138,600280.SH
139,600287.SH
140,600293.SH
141,600295.SH
142,600301.SH
143,600313.SH
144,600317.SH
145,600351.SH
146,600366.SH
147,600400.SH
148,600406.SH
149,600410.SH
150,600461.SH
151,600470.SH
152,600482.SH
153,600498.SH
154,600499.SH
155,600538.SH
156,600581.SH
157,600594.SH
158,600595.SH
159,600611.SH
160,600617.SH
161,600626.SH
162,600628.SH
163,600640.SH
164,600660.SH
165,600687.SH
166,600702.SH
167,600721.SH
168,600722.SH
169,600739.SH
170,600745.SH
171,600779.SH
172,600792.SH
173,600809.SH
174,600818.SH
175,600856.SH
176,600860.SH
177,600864.SH
178,600883.SH
179,600891.SH
180,600909.SH
181,600919.SH
182,600963.SH
183,600069.SH
184,600085.SH
185,600096.SH
186,600098.SH
187,600113.SH
188,600137.SH
189,600157.SH
190,600160.SH
191,600186.SH
192,600201.SH
193,600241.SH
194,600269.SH
195,600276.SH
196,600278.SH
197,600281.SH
198,600283.SH
199,600298.SH
200,600302.SH
201,600305.SH
202,600307.SH
203,600318.SH
204,600322.SH
205,600337.SH
206,600350.SH
207,600423.SH
208,600439.SH
209,600449.SH
210,600452.SH
211,600571.SH
212,600589.SH
213,600590.SH
214,600600.SH
215,600633.SH
216,600655.SH
217,600701.SH
218,600715.SH
219,600716.SH
220,600736.SH
221,600737.SH
222,600778.SH
223,600817.SH
224,600848.SH
225,600884.SH
226,600890.SH
227,600894.SH
228,600897.SH
229,600983.SH
230,601011.SH
231,601139.SH
232,601168.SH
233,601177.SH
234,601318.SH
235,601326.SH
236,601600.SH
237,601618.SH
238,601633.SH
239,601636.SH
240,601717.SH
241,600009.SH
242,600039.SH
243,600076.SH
244,600099.SH
245,600117.SH
246,600118.SH
247,600131.SH
248,600135.SH
249,600183.SH
250,600196.SH
251,600200.SH
252,600209.SH
253,600213.SH
254,600218.SH
255,600221.SH
256,600225.SH
257,600228.SH
258,600255.SH
259,600321.SH
260,600330.SH
261,600333.SH
262,600389.SH
263,600399.SH
264,600408.SH
265,600435.SH
266,600463.SH
267,600477.SH
268,600495.SH
269,600512.SH
270,600519.SH
271,600522.SH
272,600523.SH
273,600531.SH
274,600560.SH
275,600567.SH
276,600573.SH
277,600578.SH
278,600582.SH
279,600619.SH
280,600641.SH
281,600663.SH
282,600674.SH
283,600677.SH
284,600708.SH
285,600719.SH
286,600726.SH
287,600758.SH
288,600867.SH
289,600876.SH
290,600895.SH
291,600898.SH
292,600908.SH
293,600917.SH
294,600959.SH
295,601015.SH
296,601127.SH
297,601137.SH
298,601155.SH
299,601218.SH
300,601233.SH
301,601390.SH
302,601515.SH
303,600027.SH
304,600057.SH
305,600073.SH
306,600080.SH
307,600114.SH
308,600116.SH
309,600138.SH
310,600143.SH
311,600203.SH
312,600206.SH
313,600237.SH
314,600238.SH
315,600243.SH
316,600279.SH
317,600282.SH
318,600325.SH
319,600340.SH
320,600345.SH
321,600348.SH
322,600377.SH
323,600379.SH
324,600392.SH
325,600468.SH
326,600469.SH
327,600493.SH
328,600502.SH
329,600508.SH
330,600548.SH
331,600580.SH
332,600583.SH
333,600616.SH
334,600645.SH
335,600647.SH
336,600650.SH
337,600664.SH
338,600666.SH
339,600675.SH
340,600676.SH
341,600679.SH
342,600696.SH
343,600717.SH
344,600744.SH
345,600784.SH
346,600806.SH
347,600815.SH
348,600844.SH
349,600853.SH
350,600870.SH
351,600871.SH
352,600936.SH
353,600965.SH
354,600973.SH
355,600990.SH
356,601001.SH
357,601111.SH
358,601117.SH
359,601208.SH
360,601211.SH
361,601311.SH
362,601619.SH
363,601677.SH
364,600017.SH
365,600026.SH
366,600058.SH
367,600094.SH
368,600112.SH
369,600119.SH
370,600168.SH
371,600176.SH
372,600184.SH
373,600202.SH
374,600211.SH
375,600229.SH
376,600250.SH
377,600265.SH
378,600290.SH
379,600306.SH
380,600309.SH
381,600323.SH
382,600332.SH
383,600376.SH
384,600383.SH
385,600390.SH
386,600419.SH
387,600433.SH
388,600525.SH
389,600537.SH
390,600556.SH
391,600577.SH
392,600602.SH
393,600639.SH
394,600667.SH
395,600685.SH
396,600724.SH
397,600742.SH
398,600756.SH
399,600764.SH
400,600766.SH
